ticker,name,quoteType,country,exchange,currency,shortName,longName,korName,sector,industry,benchmarkTicker,benchmarkName
000020,DongwhaPharm,EQUITY,KOR,KOSPI,KRW,DongwhaPharm,"Dongwha Pharm.Co.,Ltd",동화약품,건강관리,WI26 건강관리,227540,KRX Healthcare
000040,KR MOTORS,EQUITY,KOR,KOSPI,KRW,KR MOTORS,"KR Motors Co., Ltd.",KR모터스,경기관련소비재,WI26 자동차,091180,KRX Autos
000050,Kyungbang,EQUITY,KOR,KOSPI,KRW,Kyungbang,"Kyungbang Co.,Ltd",경방,경기관련소비재,"WI26 화장품,의류",228790,WISE Cosmetics
000070,SAMYANGHOLDINGS,EQUITY,KOR,KOSPI,KRW,SAMYANGHOLDINGS,Samyang Holdings Corporation,삼양홀딩스,소재,WI26 화학,117460,KRX Energy & Chemicals
000080,HITEJINRO,EQUITY,KOR,KOSPI,KRW,HITEJINRO,"HITEJINRO Co., Ltd.",하이트진로,필수소비재,WI26 필수소비재,266410,KRX Consumer Staples
000100,Yuhan,EQUITY,KOR,KOSPI,KRW,Yuhan,Yuhan Corporation,유한양행,건강관리,WI26 건강관리,227540,KRX Healthcare
000120,CJ LOGISTICS,EQUITY,KOR,KOSPI,KRW,CJ LOGISTICS,CJ Logistics Corporation,CJ대한통운,산업재,WI26 운송,140710,KRX Transportation
000140,HITEJINROHOLDINGS,EQUITY,KOR,KOSPI,KRW,HITEJINROHOLDINGS,"Hitejinro Holdings Co., Ltd.",하이트진로홀딩스,필수소비재,WI26 필수소비재,266410,KRX Consumer Staples
000150,DOOSAN,EQUITY,KOR,KOSPI,KRW,DOOSAN,Doosan Corporation,두산,산업재,"WI26 상사,자본재",069500,KOSPI200
000180,SCEHoldings,EQUITY,KOR,KOSPI,KRW,SCEHoldings,Sungchang Enterprise Holdings Limited,성창기업지주,소재,WI26 비철금속,069500,KOSPI200
000210,DL,EQUITY,KOR,KOSPI,KRW,DL,"DL Holdings CO.,LTD",DL,소재,WI26 화학,117460,KRX Energy & Chemicals
000220,YuyuPharma,EQUITY,KOR,KOSPI,KRW,YuyuPharma,"Yuyu Pharma, Inc.",유유제약,건강관리,WI26 건강관리,227540,KRX Healthcare
000230,ILDONG HOLDINGS,EQUITY,KOR,KOSPI,KRW,ILDONG HOLDINGS,"Ildong Holdings Co., Ltd.",일동홀딩스,건강관리,WI26 건강관리,227540,KRX Healthcare
000240,HANKOOK & COMPANY,EQUITY,KOR,KOSPI,KRW,HANKOOK & COMPANY,"Hankook & Company Co., Ltd.",한국앤컴퍼니,경기관련소비재,WI26 자동차,091180,KRX Autos
000250,SCD,EQUITY,KOR,KOSDAQ,KRW,SCD,"Sam Chun Dang Pharm. Co., Ltd",삼천당제약,건강관리,WI26 건강관리,227540,KRX Healthcare
